docId,city_name,country_name,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
166,"Tegucigalpa","Honduras",4,8,4,14,1761,87,5,4,3961,13
167,"Kingston","Jamaica",2,5,14,8,155,2669,3,13,4549,23
168,"Mexico City","Mexico",33,40,31,17,4452,41,45,39,9476,89
169,"Managua","Nicaragua",13,39,19,29,2741,154,13,27,5548,89
170,"Panama City","Panama",3,7,11,2,2349,58,7,10,4884,0
171,"Basseterre","Saint Kitts and Nevis",1,11,2,4,49,1967,0,7,1447,13
172,"Castries","Saint Lucia",13,14,3,4,38,1803,2,113,1648,142
173,"Kingstown","Saint Vincent and the Grenadines",8,6,7,5,33,1513,0,12,1147,16
174,"Port of Spain","Trinidad and Tobago",14,49,51,34,308,2819,10,23,3781,167
175,"Washington, D.C.","United States",13,79,20,176,1465,700,144,61,17439,27
176,"Buenos Aires","Argentina",14,47,34,25,4144,51,53,35,7826,81
177,"Sucre","Bolivia",1,1,5,8,2768,9,3,6,5010,12
178,"Brasília","Brazil",5,18,3372,10,1498,27,25,40,9031,32
179,"Santiago","Chile",8,10,9,7,3640,45,16,9,7623,11
180,"Bogotá","Colombia",9,7,11,8,3697,1,11,11,5965,13
181,"Quito","Ecuador",5,18,11,16,3763,7,1,5,7428,16
182,"Georgetown","Guyana",26,11,27,43,221,1790,12,8,3609,166
183,"Asunción","Paraguay",3,5,8,5,1635,18,12,12,3437,8
184,"Lima","Peru",0,5,6,5,1629,15,2,10,2374,5
185,"Paramaribo","Suriname",19,7,47,45,236,1616,16,29,3471,104
186,"Montevideo","Uruguay",9,7,11,13,2118,33,4,4,5220,13
187,"Caracas","Venezuela",2,4,12,45,2982,37,5,14,5920,24
188,"Canberra","Australia",16,11,6,18,16,3784,8,51,8066,20
189,"Suva","Fiji",7,5,5,19,6,2006,6,8,3880,30
190,"South Tarawa","Kiribati",4,6,4,2,11,1611,2,1,2743,10
191,"Majuro","Marshall Islands",1,17,2,4,23,2285,19,3,2200,3
192,"Palikir","Micronesia",0,1,7,3,9,1510,4,2,1381,9
193,"Yaren","Nauru",5,6,15,22,16,2139,5,6,2699,92
194,"Wellington","New Zealand",9,15,8,9,2,4185,4,4,7641,2
195,"Melekeok","Palau",1,2,8,3,9,2194,23,11,2835,9
196,"Port Moresby","Papua New Guinea",16,38,70,49,30,2235,24,9,4236,270
197,"Apia","Samoa",6,9,11,5,7,2041,6,32,3058,12
198,"Honiara","Solomon Islands",2,8,14,18,12,1805,7,7,2631,32
199,"Nukuʻalofa","Tonga",7,11,17,38,2,1620,15,19,2714,15
200,"Funafuti","Tuvalu",2,6,17,15,38,3934,10,21,5271,5
201,"Port Vila","Vanuatu",25,21,18,0,12,2024,3,80,3116,114
